order_id,customer_id,order_date,total_amount,discount_amount,shipping_amount,tax_amount,payment_method,shipping_method,order_status,promo_code,device_type,store_id
O10041,C044,2022-04-21,179.99,0.00,8.00,14.40,paypal,standard,completed,,desktop,online
O10042,C023,2022-04-24,629.98,63.00,20.00,45.36,credit_card,standard,completed,SPRING21,mobile,online
O10043,C038,2022-04-27,149.99,0.00,8.00,12.00,debit_card,standard,completed,,desktop,online
O10044,C020,2022-04-30,699.98,0.00,20.00,56.00,credit_card,express,completed,,tablet,online
O10045,C001,2022-05-03,89.99,0.00,5.00,7.20,paypal,standard,completed,,mobile,online
O10046,C027,2022-05-06,899.98,90.00,20.00,64.80,credit_card,express,completed,MAY21SALE,desktop,online
O10047,C049,2022-05-09,319.99,0.00,12.50,25.60,debit_card,standard,completed,,mobile,online
O10048,C015,2022-05-12,279.98,0.00,10.00,22.40,credit_card,standard,completed,,tablet,online
O10049,C006,2022-05-15,399.99,40.00,15.00,28.80,paypal,standard,completed,MEMORIAL21,desktop,online
O10050,C037,2022-05-18,299.98,0.00,10.00,24.00,credit_card,express,completed,,mobile,online
O10051,C022,2022-05-21,139.99,0.00,8.00,11.20,debit_card,standard,completed,,desktop,online
O10052,C046,2022-05-24,529.98,53.00,15.00,38.16,credit_card,standard,completed,MAYSALE,tablet,online
O10053,C011,2022-05-27,229.99,0.00,10.00,18.40,paypal,standard,completed,,mobile,online
O10054,C033,2022-05-30,599.98,0.00,20.00,48.00,credit_card,express,completed,,desktop,online
O10055,C026,2022-06-02,169.99,0.00,8.00,13.60,debit_card,standard,completed,,mobile,online
O10056,C003,2022-06-05,299.98,30.00,10.00,21.60,credit_card,standard,completed,JUNESAVE,tablet,online
O10057,C042,2022-06-08,849.99,0.00,20.00,68.00,paypal,express,completed,,desktop,online
O10058,C019,2022-06-11,199.98,0.00,8.00,16.00,credit_card,standard,completed,,mobile,online
O10059,C008,2022-06-14,449.99,45.00,15.00,32.40,debit_card,standard,completed,SUMMER21,desktop,online
O10060,C029,2022-06-17,349.98,0.00,12.50,28.00,credit_card,express,completed,,tablet,online
O10061,C050,2022-06-20,99.99,0.00,5.00,8.00,paypal,standard,completed,,mobile,online
O10062,C014,2022-06-23,419.98,42.00,15.00,30.24,credit_card,standard,completed,JUNE21END,desktop,online
O10063,C036,2022-06-26,79.99,0.00,5.00,6.40,debit_card,standard,completed,,mobile,online
O10064,C024,2022-06-29,649.98,0.00,20.00,52.00,credit_card,express,completed,,tablet,online
O10065,C007,2022-07-02,129.99,0.00,8.00,10.40,paypal,standard,completed,,desktop,online
O10066,C045,2022-07-04,549.98,55.00,15.00,39.60,credit_card,standard,completed,JULY4TH,mobile,online
O10067,C016,2022-07-07,279.99,0.00,10.00,22.40,debit_card,standard,completed,,desktop,online
O10068,C032,2022-07-10,179.98,0.00,8.00,14.40,credit_card,standard,completed,,tablet,online
O10069,C002,2022-07-13,699.99,70.00,20.00,50.40,paypal,express,completed,SUMMER21,mobile,online
O10070,C040,2022-07-16,109.98,0.00,8.00,8.80,credit_card,standard,completed,,desktop,online
O10071,C025,2022-07-19,599.99,0.00,20.00,48.00,debit_card,express,completed,,mobile,online
O10072,C048,2022-07-22,249.98,25.00,10.00,18.00,credit_card,standard,completed,JULYSALE,tablet,online
O10073,C013,2022-07-25,329.99,0.00,12.50,26.40,paypal,standard,completed,,desktop,online
O10074,C038,2022-07-28,379.98,0.00,12.50,30.40,credit_card,express,completed,,mobile,online
O10075,C021,2022-07-31,899.99,90.00,20.00,64.80,debit_card,standard,completed,JULYEND,desktop,online
O10076,C010,2022-08-03,149.98,0.00,8.00,12.00,credit_card,standard,completed,,tablet,online
O10077,C031,2022-08-06,249.99,0.00,10.00,20.00,paypal,standard,completed,,mobile,online
O10078,C046,2022-08-09,349.98,35.00,12.50,25.20,credit_card,standard,completed,AUG21SAVE,desktop,online
O10079,C004,2022-08-12,399.99,0.00,15.00,32.00,debit_card,express,completed,,mobile,online
O10080,C017,2022-08-15,499.98,0.00,15.00,40.00,credit_card,standard,completed,,tablet,online
O10081,C034,2022-08-18,119.99,12.00,8.00,8.64,paypal,standard,completed,BACKTOSCHOOL,desktop,online
O10082,C047,2022-08-21,579.98,0.00,15.00,46.40,credit_card,express,completed,,mobile,online
O10083,C027,2022-08-24,69.99,0.00,5.00,5.60,debit_card,standard,completed,,desktop,online
O10084,C043,2022-08-27,479.98,48.00,15.00,34.56,credit_card,standard,completed,SUMMEREND,tablet,online
O10085,C005,2022-08-30,289.99,0.00,10.00,23.20,paypal,standard,completed,,mobile,online
O10086,C035,2022-09-02,449.98,0.00,15.00,36.00,credit_card,express,completed,,desktop,online
O10087,C020,2022-09-05,389.99,39.00,12.50,28.00,debit_card,standard,completed,LABORDAY21,mobile,online
O10088,C012,2022-09-08,629.98,0.00,20.00,50.40,credit_card,express,completed,,tablet,online
O10089,C041,2022-09-11,199.99,0.00,8.00,16.00,paypal,standard,completed,,desktop,online
O10090,C028,2022-09-14,149.98,15.00,8.00,10.80,credit_card,standard,completed,FALLSALE,mobile,online
O10091,C049,2022-09-17,749.99,0.00,20.00,60.00,debit_card,express,completed,,desktop,online
O10092,C039,2022-09-20,219.98,0.00,10.00,17.60,credit_card,standard,completed,,tablet,online
O10093,C009,2022-09-23,299.99,30.00,10.00,21.60,paypal,standard,completed,SEPT21END,mobile,online
O10094,C044,2022-09-26,169.98,0.00,8.00,13.60,credit_card,standard,completed,,desktop,online
O10095,C023,2022-09-29,849.99,0.00,20.00,68.00,debit_card,express,completed,,mobile,online
O10096,C018,2022-10-02,99.98,10.00,5.00,7.20,credit_card,standard,completed,OCTOBERSAVE,tablet,online
O10097,C030,2022-10-05,519.99,0.00,15.00,41.60,paypal,express,completed,,desktop,online
O10098,C006,2022-10-08,229.98,0.00,10.00,18.40,credit_card,standard,completed,,mobile,online
O10099,C037,2022-10-11,429.99,43.00,15.00,30.96,debit_card,standard,completed,FALL21SALE,desktop,online
O10100,C001,2022-10-14,279.98,0.00,10.00,22.40,credit_card,express,completed,,tablet,online 
