product_id,product_name,category,subcategory,brand,supplier,cost,price,tags,created_at,is_active
P024,Water Sports Rash Guard,Beachwear,Shirts,GuardPro,Pacific Gear,24.99,59.99,"rashguard,protection,uv",2021-02-20,TRUE
P025,Board Repair Kit,Accessories,Maintenance,FixItPro,Surf Accessories Inc.,19.99,44.99,"repair,maintenance,emergency",2021-01-20,TRUE
P026,Surf Training Balance Board,Training,Balance,TrainRight,Performance Sports Inc.,79.99,169.99,"training,balance,practice",2021-06-10,TRUE
P027,Waterproof Action Camera,Electronics,Cameras,AquaShot,Tech Marine Inc.,149.99,299.99,"camera,waterproof,action",2021-06-15,TRUE
P028,Surfboard Bag,Accessories,Bags,BoardGuard,Surf Accessories Inc.,39.99,89.99,"bag,protection,travel",2021-03-15,TRUE
P029,Neoprene Surf Booties,Accessories,Footwear,WaveMaster,Pacific Gear,29.99,59.99,"booties,neoprene,protection",2021-02-10,TRUE
P030,Surf Ear Plugs,Accessories,Protection,EarShield,Surf Accessories Inc.,9.99,24.99,"ears,protection,water",2021-01-25,TRUE
P031,Bodyboard 40",Bodyboards,Standard,WaveRider,Pacific Gear,49.99,109.99,"bodyboard,standard,recreation",2021-07-01,TRUE
P032,Premium Bodyboard Leash,Accessories,Leashes,SafetyFirst,Surf Accessories Inc.,14.99,34.99,"leash,bodyboard,safety",2021-07-01,TRUE
P033,Women's Board Shorts,Beachwear,Shorts,BeachLife,Coastal Lifestyle Co.,29.99,69.99,"shorts,women,quick-dry",2021-05-10,TRUE
P034,Men's Board Shorts,Beachwear,Shorts,BeachLife,Coastal Lifestyle Co.,29.99,69.99,"shorts,men,quick-dry",2021-05-10,TRUE
P035,Waterproof Phone Case,Accessories,Protection,AquaShield,Tech Marine Inc.,14.99,34.99,"phone,waterproof,protection",2021-06-01,TRUE
P036,Water Shoes,Beachwear,Footwear,AquaStep,Coastal Lifestyle Co.,19.99,44.99,"shoes,water,protection",2021-05-15,TRUE
P037,Beach Towel - Extra Large,Beachwear,Towels,BeachLife,Coastal Lifestyle Co.,19.99,39.99,"towel,beach,large",2021-05-05,TRUE
P038,Surfboard Wall Rack,Home,Storage,BoardHome,Surf Accessories Inc.,29.99,69.99,"storage,display,home",2021-08-01,TRUE
P039,Waterproof Bluetooth Speaker,Electronics,Audio,SoundWave,Tech Marine Inc.,69.99,129.99,"speaker,waterproof,bluetooth",2021-06-20,TRUE
P040,Surf Changing Poncho,Beachwear,Changing,ChangeEasy,Coastal Lifestyle Co.,34.99,74.99,"changing,poncho,privacy",2021-05-20,TRUE 
